🇭🇰,#genre#
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/master.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/master.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/master.m3u8
RTHK36,https://rthktv36-live.akamaized.net/hls/live/2112176/RTHKTV36/master.m3u8
ViuTV,http://67.220.67.246:2347/livehttpplay?channel_id=30032
ViuTV,http://cdn.veryfast.filegear-sg.me/live/viu/stream.m3u8
ViuTV,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
ViuTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
ViuTV,http://r.jdshipin.com/TcKr2
ViuTV,http://r.jdshipin.com/vSJvl
ViuTV,http://rihou.cc:555/tv/[Cx]VIUTV粤
ViuTV,https://cdn.163189.xyz/163189/viu
ViuTV,https://cdn9.163189.xyz/smt1.1.php?id=viu1_twn
ViuTV,https://cdn9.163189.xyz/smt3.1.1.php?id=viu1_twn
ViuTV,https://stream1.freetv.fun/viutv-5.ctv
ViuTV,https://stream1.freetv.fun/viutv-9.ctv
ViuTV6,http://67.220.67.246:2347/livehttpplay?channel_id=20132
ViuTV6,http://67.220.67.246:2347/livehttpplay?channel_id=30033
ViuTV6,https://cdn9.163189.xyz/smt1.1.php?id=viusix_twn
ViuTV6,https://cdn9.163189.xyz/smt3.1.1.php?id=viusix_twn


